time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,estrus
1,33.266666666666666,47.2,8.116666666666667,38.416666666666664,33.989480781666664,33.266666666666666,38.8,37.95,31.35,47.71666666666667,19.416666666666668,14.066666666666666,24.4,22.366666666666667,17.0,16.433333333333334,30.083333333333332,58.6,33.06666666666667,30.85,35.13333333333333,23.0,25.916666666666668,37.083333333333336,25.75,40.81666666666667,False
2,31.683333333333334,50.266666666666666,11.533333333333333,47.88333333333333,48.68333333333333,57.38333333333333,43.86666666666667,64.28333333333333,70.5,63.35,49.36666666666667,37.083333333333336,31.683333333333334,43.06666666666667,66.35,48.516666666666666,76.95,48.95,59.38333333333333,65.8,41.61666666666667,42.28333333333333,56.266666666666666,53.233333333333334,60.71666666666667,55.766666666666666,False
3,26.15,54.63333333333333,33.2,46.25,69.39562823,50.93333333333333,39.21666666666667,57.2,68.33333333333333,61.083333333333336,40.43333333333333,32.3,33.7,51.1,58.56666666666667,35.8,76.56666666666666,51.71666666666667,60.75097254,55.35,43.35,39.25,54.666666666666664,30.116666666666667,63.71666666666667,56.333333333333336,False
4,30.233333333333334,62.31666666666667,30.983333333333334,42.55,67.64562823,48.53333333333333,41.05,56.18333333333333,58.016666666666666,44.766666666666666,35.35,34.35,20.0,47.983333333333334,56.166666666666664,37.483333333333334,81.26666666666667,69.8,72.06666666666666,75.83333333333333,44.63333333333333,37.13333333333333,32.85,40.11666666666667,66.63333333333334,51.13333333333333,False
5,19.883333333333333,56.4,19.083333333333332,42.7,63.7,56.55,34.61666666666667,63.96666666666667,71.35063168666667,38.11666666666667,37.28333333333333,25.85,19.183333333333334,40.766666666666666,50.016666666666666,21.5,83.4,62.0,18.816666666666666,69.71666666666667,41.983333333333334,43.96666666666667,32.18333333333333,55.0,57.1,48.166666666666664,False
6,7.683333333333334,52.06666666666667,12.75,40.95,50.739480781666664,54.13333333333333,42.38333333333333,57.43333333333333,23.05,15.3,4.0,34.13333333333333,32.95,18.933333333333334,54.31666666666667,33.333333333333336,70.28333333333333,69.38333333333334,23.866666666666667,61.38333333333333,41.78333333333333,30.683333333333334,62.75,38.53333333333333,54.21666666666667,20.116666666666667,False
7,29.016666666666666,43.233333333333334,1.65,41.266666666666666,44.372814115,63.47674978,36.88333333333333,56.38333333333333,8.566666666666666,46.28333333333333,23.5,36.016666666666666,31.2,42.45,53.3,42.06042068833334,55.3,6.5,26.666666666666668,80.0,48.8,48.416666666666664,54.3,42.5,57.733333333333334,30.833333333333332,False
8,27.983333333333334,23.833333333333332,3.033333333333333,38.36666666666667,4.216666666666667,70.99341644666667,12.563465742333333,53.7,54.28333333333333,50.0,21.9,28.833333333333332,29.5,48.333333333333336,54.0,37.25,8.0,15.15,58.61666666666667,76.1,52.75,52.416666666666664,50.35,53.10399511,22.183333333333334,36.28333333333333,False
9,29.45,2.3833333333333333,23.683333333333334,1.9333333333333333,33.36666666666667,58.56666666666667,21.933333333333334,55.7,0.8833333333333333,38.96666666666667,32.016666666666666,31.516666666666666,2.3833333333333333,30.616666666666667,52.85,18.433333333333334,29.583333333333332,12.55,50.71666666666667,65.28333333333333,17.933333333333334,49.483333333333334,41.18333333333333,63.73533088833334,16.383333333333333,3.3833333333333333,False
10,3.7333333333333334,39.81666666666667,4.983333333333333,25.166666666666668,66.33333333333333,66.45349956,22.316666666666666,3.8,33.56666666666667,27.183333333333334,19.183333333333334,34.66302206666667,29.6,5.833333333333333,43.166666666666664,17.433333333333334,0.7666666666666667,3.6166666666666667,33.36666666666667,15.866666666666667,39.28333333333333,17.633333333333333,10.333333333333334,43.58533088833334,33.166666666666664,29.716666666666665,False
