time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,estrus
1,37.26667361111111,37.5514375,36.86114583333334,37.30477338592361,37.93627203601389,37.24895138888889,37.489694444444446,37.23952083333334,37.07816666666667,36.95679166666667,37.760868055555555,36.68601388888889,36.77234722222222,36.762145833333335,36.6213125,36.59856944444444,36.51613888888889,36.84589017504167,36.463680555555555,36.766819444444444,36.75525694444445,36.345597222222224,36.68487312429861,36.785989535381944,36.515590277777775,36.80469444444444,False
2,37.496520833333335,37.48866666666667,37.33311805555556,37.73725694444445,38.151513888888886,37.449666666666666,37.60157805821528,37.51897913008334,37.21970833333333,37.17444444444444,37.79495216915278,36.9665,36.938743055555555,36.75111111111111,37.05920379565278,36.480243055555555,36.29340972222222,36.764746931333335,36.528875,36.64765277777778,37.024409722222224,36.329,36.66797222222222,36.68532007175695,36.55790277777778,37.18117955211111,True
3,37.257146769375,37.231743055555555,36.79761805555555,37.273472222222225,37.86204861111111,37.124270833333334,37.292118055555555,37.25083333333333,36.88251388888889,36.688086472777776,37.808574565104166,36.56679720660417,36.6731875,36.789680555555556,37.99876388888889,36.44515972222222,36.69674305555555,36.76744502784722,36.54457638888889,36.72571527777778,36.75872916666667,36.49720138888889,36.81200694444445,36.79211022297223,36.551430555555555,36.97188194444445,False
4,37.327819444444444,37.32536111111111,36.78984160708333,37.22134027777778,37.57388888888889,37.21228472222222,37.440562500000006,37.134680555555555,36.79695138888889,37.02367361111111,37.81395417135416,36.65790972222222,36.62047567301389,36.78177785611111,36.958284722222224,36.442076388888886,36.64921527777778,36.81927328890278,36.427569444444444,36.81483830025,36.656625,36.27939583333333,36.645604166666665,36.75870666211805,36.362680555555556,36.95088888888889,False
5,37.50550694444444,37.421081515888886,37.117527777777774,37.39733701885417,37.82940277777777,37.26571527777777,37.349756944444444,37.319381944444444,36.96534722222222,37.038006984111114,37.88488362795139,36.90173611111111,36.759055555555555,36.69016666666666,36.82304861111111,36.389354166666664,36.53754861111111,36.73136354598611,36.426611111111114,36.73865277777778,36.574420724180555,36.20017361111111,36.776583333333335,36.65732352290972,36.55365277777778,36.91087537626389,False
6,37.5903125,37.543601548944444,37.27518055555556,37.548493055555554,38.00326388888889,37.42429861111111,37.62258333333333,37.43548611111111,37.28436111111111,37.19053939090278,37.90575570520833,36.949194444444444,36.952395833333334,36.70792361111111,36.83752083333333,36.322541666666666,36.430951388888886,36.63098552509722,36.42503472222222,36.78076388888889,36.80539583333333,36.108173611111106,36.707027547263884,36.72815094104167,36.568416666666664,36.76177083333333,True
7,37.29052083333333,37.4383125,36.84904166666667,37.241256944444444,37.568354166666666,37.07641666666667,37.23401388888889,37.098395833333335,36.76834027777778,36.772490984916665,37.8022065796875,36.594125,36.655791666666666,36.67892361111111,36.87634722222222,36.477291666666666,36.26184027777778,36.587469377263886,36.49999305555556,36.76463888888889,36.63165277777778,36.153284722222224,36.822895833333334,36.67413312088889,36.47219444444444,36.75427777777778,False
8,37.3180625,37.2220625,36.94602777777778,37.3551875,37.585055555555556,37.14414583333333,37.287305555555555,37.031979166666666,36.946444444444445,36.90909027777778,37.75261805555555,36.68606944444445,36.85940277777778,36.604479166666664,36.93486111111111,36.31496527777778,36.41345138888889,36.72618539773611,36.41782638888889,36.71247916666667,36.72734722222222,36.271791666666665,36.77871527777778,36.60411111111111,36.45102777777778,36.65121527777778,False
9,37.32138194444445,37.47832024472222,36.966479139583335,37.26945833333333,37.770159722222225,37.17920138888889,37.42361805555556,37.461687500000004,36.9749375,37.10075,37.69606944444444,36.82588194444444,36.83945833333333,36.727583333333335,36.75791666666667,36.40045138888889,36.35570833333333,36.734631472555556,36.456465277777774,36.79365972222222,36.93936111111111,36.120805555555556,36.66976388888889,36.51307974413889,36.440888888888885,37.067875,False
10,37.5225,37.491770833333334,37.19934027777778,37.392878685520834,37.96684722222222,37.32797222222222,37.58367361111111,37.56043051897222,37.162840277777775,37.234722222222224,37.792170103819444,37.23643055555556,36.882472222222226,36.65701388888889,36.72906334822917,36.295569444444446,36.69040972222222,36.63716516134723,36.71248611111111,36.475965277777775,36.67454166666666,36.50045138888889,36.859409722222225,36.87877491179861,36.689,36.79864583333334,True
