time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,estrus
1,37.81475,37.85154166666667,36.90927777777778,37.87730555555556,38.52759722222222,38.030125,38.15386111111111,37.962555555555554,37.389986111111114,37.495875,37.88886111111111,37.06540277777778,37.30209722222222,37.26605555555556,37.34218055555555,36.89252777777778,37.05602777777778,37.01925945611111,37.147444444444446,37.572263888888884,37.374319444444446,36.95286111111111,37.478680555555556,37.272294367722225,37.108069444444446,36.93673611111111,False
2,36.71859722222222,37.251333333333335,36.81301388888889,36.73224121629167,37.34494684980556,36.467777777777776,36.82552777777778,36.51648611111111,36.76634722222222,36.41770833333333,37.632875,36.306625000000004,36.24259722222222,36.25823611111111,35.900444444444446,36.30461111111111,35.97625,36.67252089397222,35.779916666666665,35.961375,36.13619444444445,35.73833333333333,35.89106569304167,36.29968470304167,35.92311111111111,36.67265277777778,False
3,38.224361111111115,38.067458333333335,37.96404166666667,38.215472222222225,38.88993055555556,38.212944444444446,38.51536111111111,38.051138888888886,37.64575,37.77227777777778,37.95993055555556,37.39613888888889,37.487208333333335,37.45184722222223,37.523722222222226,36.99443055555556,36.846361111111115,37.11801171505556,37.23068055555556,37.43984722222222,37.41683333333333,36.809444444444445,37.46559722222222,37.34758044047222,37.18320833333333,37.25448611111111,True
4,36.768680555555555,36.909875,36.702194444444444,37.25904166666666,37.41309722222222,36.68638888888889,36.687795005319444,36.986819371277775,36.79366666666667,36.57661111111111,37.62997378275,36.536861111111115,36.390277777777776,36.050375,36.59468536908334,35.966055555555556,35.740458333333336,36.41148214761111,35.82706944444445,35.85545833333333,36.63198611111111,35.848555555555556,35.87034722222222,36.02305970304167,35.93259722222222,37.10787299311111,True
5,37.856724094305555,37.623555555555555,37.26229166666666,37.81454166666667,38.26456944444445,37.845819444444444,37.831180555555555,37.98894444444444,37.19913888888889,37.161902777777776,37.959222081944446,37.09290277777778,37.117916666666666,37.54969444444444,38.580597222222224,36.89201388888889,37.00058333333333,37.15325278625,37.238930555555555,37.543958333333336,37.244902777777774,37.0835,37.54580555555555,37.02003807747222,37.04738888888889,37.23211111111111,False
6,36.65756944444445,36.839930555555554,36.33294444444444,36.73240277777778,37.45952777777778,36.40272222222222,36.753055555555555,36.51272222222222,36.565888888888885,36.21427016777778,37.65792704826389,36.040691635430555,36.228458333333336,36.02966666666667,37.41693055555555,35.998305555555554,36.39290277777778,36.38163726944445,35.85022222222222,35.907472222222225,36.272555555555556,35.91090277777778,36.078208333333336,36.564182368472224,36.05547222222222,36.71165277777778,False
7,37.95531944444445,37.52776388888889,37.30998611111111,37.70436111111111,38.064499999999995,37.93201388888889,37.94294444444444,37.85531944444445,37.128125,37.37880555555556,38.09860278715278,37.194250000000004,37.060625,37.45938888888889,37.23681944444444,37.01034722222222,36.96713888888889,37.213822293944446,37.189972222222224,37.558875,37.23368055555556,36.892986111111114,37.47991666666667,37.19827903240278,36.82266666666666,37.31323611111111,False
8,36.700319444444446,37.12295833333333,36.269697103055556,36.73831944444444,37.083277777777774,36.492555555555555,36.938180555555554,36.41404166666667,36.46577777777778,36.66854166666666,37.52930555555555,36.12156944444444,36.180326346027776,36.10416682333334,36.67975,35.873805555555556,36.331291666666665,36.42472428386111,35.665166666666664,36.0708016005,36.079569444444445,35.66580555555556,35.81129166666667,36.319134291833336,35.90269444444444,36.588541666666664,False
9,38.02059722222222,37.74002937833333,37.31483333333333,37.76318055555556,38.564375,37.93238888888889,37.858152777777775,38.01068055555555,37.46293055555556,37.49419452377778,38.17993392256945,37.56075,37.15390277777778,37.369638888888886,37.11743055555556,36.93373611111111,37.028597222222224,37.197695419166664,37.25204166666667,37.615722222222225,37.147416666666665,36.697805555555554,37.653305555555555,37.057,37.04713888888889,37.117694444444446,False
10,36.99041666666666,37.10213365344445,36.92022222222222,37.031493482152776,37.094430555555554,36.59904166666667,36.84136111111111,36.628083333333336,36.46776388888889,36.58181944444444,37.58983333333333,36.24272222222222,36.36420833333333,36.01069444444445,36.528666666666666,35.844972222222225,36.0465,36.265031672805556,35.60118055555555,35.861583333333336,36.001424781694446,35.70254166666667,35.899861111111115,36.257647045819446,36.06016666666667,36.70405630808333,False
