time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,estrus
1,38.31216666666667,38.209666666666664,36.775999999999996,38.06483333333333,38.16,37.409,38.21266666666667,37.5145,37.284666666666666,37.75783333333333,37.90466666666667,36.632333333333335,37.092,36.52833333333333,36.498666666666665,36.33866666666667,36.5035,37.785333333333334,36.825833333333335,37.01833333333333,37.5145,36.765499999999996,36.81433333333334,36.88838310316667,36.933166666666665,37.406333333333336,False
2,38.51566666666667,38.23016666666667,37.056333333333335,38.36466666666667,38.94266666666667,38.343666666666664,38.894666666666666,38.472166666666666,37.9555,37.99483333333333,38.245666666666665,37.4195,38.065666666666665,37.842333333333336,37.76033333333333,37.563,37.892,37.69266666666667,37.70033333333333,37.64783333333333,38.08183333333333,37.13616666666667,38.05466666666667,37.724666666666664,37.749,37.98866666666667,False
3,38.324,38.27433333333333,37.70666666666667,38.48016666666667,39.092333333333336,38.33833333333334,38.715,38.522166666666664,37.93183333333333,38.0315,38.29083333333333,37.282000000000004,38.09766666666667,37.90916666666667,37.8985,37.45033333333333,37.95466666666667,37.80683333333333,37.7305,37.850166666666674,38.044999999999995,37.629,38.04783333333333,37.408500000000004,37.61816666666667,37.83866666666667,False
4,38.275666666666666,38.39933333333333,37.910333333333334,38.37033333333333,39.01283333333333,38.15683333333333,38.6795,38.49083333333333,37.89833333333333,37.791333333333334,37.728833333333334,37.19083333333333,37.87583333333334,37.80333333333333,37.650333333333336,37.370999999999995,37.781666666666666,37.906166666666664,37.70216666666667,37.78433333333333,37.55583333333333,37.164833333333334,37.4865,37.2187164365,37.55683333333333,37.90266666666666,False
5,38.06716666666667,38.309999999999995,37.425666666666665,38.3635,38.925666666666665,38.300666666666665,38.58616666666667,38.57083333333333,37.86066666666667,37.58166666666667,37.644666666666666,36.896499999999996,37.3785,37.693666666666665,37.676,36.823499999999996,37.86133333333333,37.819833333333335,36.87483333333333,37.80883333333334,37.52316666666666,37.17733333333333,37.581,37.68226620633333,37.348166666666664,37.285333333333334,False
6,37.03416666666667,38.2445,36.62533333333333,38.25466666666667,38.678,38.27066666666666,38.591166666666666,38.45783333333333,37.2555,36.97483333333333,38.202,37.157333333333334,37.88583333333334,37.230000000000004,37.722833333333334,37.258500000000005,37.662166666666664,38.15566666666667,36.757,38.12416666666666,37.5055,36.75816666666667,38.08983333333333,37.54833333333333,37.34533333333333,36.498666666666665,False
7,38.251999999999995,38.13066666666667,36.256499999999996,38.31816666666667,38.48233333333334,38.32483333333334,38.36,38.37583333333334,36.9135,37.45116666666667,38.1235,37.074,37.57983333333333,37.75816666666666,37.762166666666666,37.43516666666667,37.400666666666666,36.345333333333336,37.127833333333335,38.08233333333333,37.808,37.376999999999995,38.008833333333335,37.20283333333334,37.348333333333336,36.758500000000005,False
8,38.33233333333333,37.494,36.098,37.943333333333335,37.533833333333334,38.38933333333333,37.31583333333333,38.292,37.671166666666664,37.647166666666664,37.53916666666667,37.221333333333334,37.06166666666666,37.81333333333334,37.78516666666667,37.25016666666667,36.193666666666665,35.77916666666667,37.34666666666667,37.852666666666664,37.85633333333333,37.46116666666667,37.965333333333334,37.573166666666665,36.62716666666667,36.844,False
9,38.216,36.698,37.3885,36.80133333333333,38.092,38.2615,37.81016666666667,38.06216666666667,36.78866666666667,37.743833333333335,37.93116666666666,37.304833333333335,36.475,37.223166666666664,37.38699999999999,36.256499999999996,36.328833333333336,36.10033333333333,37.495,37.763333333333335,36.782833333333336,37.06466666666667,37.286833333333334,37.72633333333333,36.405499999999996,35.93083333333333,False
10,36.89216666666667,37.71216666666667,36.727666666666664,37.6065,38.90333333333333,38.318,37.81466666666667,36.55766666666667,37.20466666666667,37.233333333333334,37.75116666666667,37.1635,36.983666666666664,36.2265,37.20483333333333,36.7115,36.155833333333334,36.276307247333335,37.133833333333335,36.91283333333333,37.17616666666667,36.622,36.5775,37.22,37.36416666666666,36.66716666666667,False
